Data,Info
28-03-2020,Oficjalne uruchomienie serwisu mapowego
03-04-2020,Od dzisiaj aktualizacje będą pojawiały się następnego dnia wieczorem
14-04-2020,Dzisiaj do naszego zespołu dołączyli Michał z SKN Geodetów UP we Wrocławiu oraz Łukasz z KNG Dahlta AGH w Krakowie
03-05-2020,Uruchomienie anglojęzycznej wersji-dostępnej pod adresem https://covidinpoland.herokuapp.com/
04-05-2020,W dni dzisiejszym członkiem zespołu został Adam z KN Geografii Regionalnej i Politycznej UW.  
11-05-2020,Poprawa funkcjonalności. Od dzisiaj dane mogą być wyświetlone na mapie dla przedziału dowolnych dni.
